ANO;MES;PERFIL_CARGA;TIPO_MERCADORIA;MOVIMENTACAO;NAVEGACAO;TIPO_INSTALACAO;TOTAL_TONELADAS;TOTAL_TEU;TOTAL_UNIDADE
2020;2;GRANEIS DE ORIGEM VEGETAL;CONTAINER;;IMPORT/EXPORT/CABOTAGEM;TUP;0;0;0
2020;2;GRANEIS DE ORIGEM VEGETAL;CONTAINER;;IMPORT/EXPORT/LONGO CURSO;TUP;100;10;5
2020;2;GRANEIS DE ORIGEM VEGETAL;CONTAINERES;;IMPORT/EXPORT/LONGO CURSO;TUP;0;0;0
2020;2;GRANEIS DE ORIGEM VEGETAL;CONTAINERES VEICULOS VARIOS;;EXPORTACAO/LONGO CURSO;TUP;6.142;552;12
2020;2;GRANEIS DE ORIGEM VEGETAL;CONTAINERS;;EXPORTACAO/LONGO CURSO;TUP;0;0;0
2020;2;GRANEIS DE ORIGEM VEGETAL;CONTAINERS;;IMPORT/EXPORT/LONGO CURSO;TUP;19.489;10440;60
2020;2;GRANEIS DE ORIGEM VEGETAL;CONTANIERES;;IMPORT/EXPORT/LONGO CURSO;TUP;0;0;0
2020;2;GRANEIS DE ORIGEM VEGETAL;CONTEINER;;IMPORT/EXPORT/CABOTAGEM;TUP;0;0;0
2020;2;GRANEIS DE ORIGEM VEGETAL;CONTEINER;;IMPORT/EXPORT/LONGO CURSO;TUP;0;0;0
2020;2;GRANEIS DE ORIGEM VEGETAL;CONTEINERES;;EXPORTACAO/LONGO CURSO;TUP;741.197;0;0
2020;2;GRANEIS DE ORIGEM VEGETAL;CONTEINERES;;IMPORT/EXPORT/CABOTAGEM;TUP;0;0;0
2020;2;GRANEIS DE ORIGEM VEGETAL;CONTEINERES;;IMPORT/EXPORT/LONGO CURSO;TUP;7.837;4084;66
2020;2;GRANEIS DE ORIGEM VEGETAL;OLEINA PKS ESTEARINA ACIDO LAURICO ACIDO GRAXO NBUTANOL;;IMPORT/EXPORT/LONGO CURSO;PORTO ORGANIZADO;714.198;0;0
2020;2;GRANEIS DE ORIGEM VEGETAL;ONTEINERES;;EXPORTACAO/LONGO CURSO;TUP;0;0;0
2020;2;GRANEIS DE ORIGEM VEGETAL;ORTOXILENO/ISOLEM/EDC DICLORETANO EMBARQUE;;IMPORT/EXPORT/CABOTAGEM;PORTO ORGANIZADO;115.112;0;0
2020;2;GRANEIS DE ORIGEM VEGETAL;PDQS;;IMPORT/EXPORT/LONGO CURSO;PORTO ORGANIZADO;674.867;0;0
2020;2;GRANEIS DE ORIGEM VEGETAL;PDQS;;IMPORT/EXPORT/LONGO CURSO;TUP;30.676;0;0
2020;2;GRANEIS DE ORIGEM VEGETAL;PDQS;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;255.993;0;0
2020;2;GRANEIS DE ORIGEM VEGETAL;VEICULOS;;EXPORTACAO/LONGO CURSO;TUP;20.004;13281;206
2020;2;GRANEIS DE ORIGEM VEGETAL;VEICULOS;;IMPORT/EXPORT/LONGO CURSO;TUP;84.993;43644;423
2020;2;GRANEIS DE ORIGEM VEGETAL;VEICULOS/CCS/VARIOS;;IMPORT/EXPORT/LONGO CURSO;TUP;20.738;7688;32
